date,venue,venue_num,race,night,race_type,why_bet,confidence,pred_combo,pred_prob,pred_ev,pred_odds,upset_score,wind_speed,wind_dir,wave,result_combo,payout,hit,profit,n_bets,cost
20260703,蒲郡,7,9,0,イン逃げ型,1号艇モーター5位|1号艇展示1位|超荒れ(9.5),0.99,1-6-4,0.10473,5.53,52.8,9.5,3.0,横,1,2-3-1,22430,0,-1300,2,1300,,,,,,,,
20260703,びわこ,11,9,0,イン逃げ型,波高3cm|1号艇モーター5位|1号艇展示2位|超荒れ(9.5),0.99,1-6-2,0.21972,16.479,75.0,9.5,3.0,横,3,1-5-4,4920,0,-1600,3,1600,,,,,,,,
20260703,児島,16,1,0,1残り荒れ型,波高3cm|1号艇ST大幅遅れ0.31|超荒れ(9.5),0.841,1-6-4,0.09073,2.223,24.5,9.5,4.0,横,3,3-1-6,13100,0,-300,1,300,,,,,,,,
20260703,児島,16,2,0,1残り荒れ型,波高3cm|1号艇ST大幅遅れ0.29|1号艇展示6位(最下位圏)|超荒れ(9.5),0.99,1-6-2,0.10096,6.391,63.3,9.5,3.0,横,3,1-4-5,2940,0,-1600,3,1600,,,,,,,,
20260703,児島,16,3,0,モンスター型,波高3cm|超荒れ(8.9),0.8744,1-6-5,0.07021,3.82,54.4,8.931,2.0,横,3,5-6-1,11670,0,-600,2,600,,,,,,,,
20260703,児島,16,4,0,モンスター型,波高3cm|1号艇展示6位(最下位圏)|超荒れ(9.5),0.742,1-6-4,0.05866,2.311,39.4,9.5,2.0,横,3,6-4-1,18160,0,-600,2,600,,,,,,,,
20260703,児島,16,6,0,1残り荒れ型,波高5cm|1号艇ST大幅遅れ0.25|1号艇展示1位|超荒れ(9.3),0.9364,1-6-4,0.086,5.315,61.8,9.272,6.0,横,5,1-5-6,23270,0,-900,3,900,,,,,,,,
20260703,下関,19,2,0,イン逃げ型,波高4cm|1号艇勝率低(4.9)|1号艇モーター5位|1号艇展示1位|超荒れ(9.5),0.99,1-6-4,0.17682,7.621,43.1,9.5,4.0,横,4,6-1-4,6950,0,-1300,2,1300,,,,,,,,
20260703,下関,19,3,0,イン逃げ型,追い風3m|波高3cm|1号艇モーター5位|1号艇展示2位|超荒れ(9.5),0.958,1-6-5,0.09085,4.497,49.5,9.5,3.0,追,3,2-5-4,4030,0,-600,2,600,,,,,,,,
20260703,下関,19,4,0,1残り荒れ型,波高3cm|1号艇勝率低(4.3)|1号艇展示6位(最下位圏)|1号艇モーター6位|超荒れ(9.5),0.8582,1-6-4,0.06234,4.489,72.0,9.5,3.0,横,3,1-2-4,14480,0,-600,2,600,,,,,,,,
20260703,下関,19,5,0,イン逃げ型,波高3cm|1号艇モーター6位|1号艇展示1位|超荒れ(9.5),0.99,1-6-2,0.17227,10.388,60.3,9.5,3.0,横,3,1-6-2,2040,1,5520,2,600,,,,,,,,
20260703,下関,19,6,0,1残り荒れ型,波高3cm|1号艇展示1位|超荒れ(9.5),0.99,1-6-4,0.12558,5.802,46.2,9.5,3.0,横,3,1-4-2,1180,0,-1600,3,1600,,,,,,,,
